PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PubChem Standard Value,Standard Type,Standard Relation,Standard Value,Standard Text Value,Standard Units,Activity Comment
RESULT_TYPE,,,,,,,,FLOAT,STRING,STRING,FLOAT,STRING,STRING,STRING
RESULT_DESCR,,,,,,,,PubChem standardized value transformed from 'Standard Value'. The unit is always micromolar,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Standardized version of non-numeric measurement,Selected units for 'Standard Type': e.g. concentrations are in nM,Additional comments
RESULT_UNIT,,,,,,,,MICROMOLAR,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,TRUE,,,,,,
RESULT_IS_ACTIVE_CONCENTRATION_QUALIFIER,,,,,,,,,,TRUE,,,,
1,103538525,3011893,C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,8.603,EC50,=,8603,,nM,
2,103538525,3011893,C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,2.594,EC50,=,2594,,nM,
3,103538525,3011893,C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,,EC50,,,Could not be calculated,,
4,103538525,3011893,C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,,EC90,,,Could not be calculated,,
5,103538525,3011893,C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,,EC50,,,Could not be calculated,,
6,103538525,3011893,C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,,EC90,,,Could not be calculated,,
7,103538525,3011893,C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,10,EC90,>,10,,uM,Falls Outside The Dose Series
8,103538525,3011893,C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,10,EC90,>,10,,uM,Falls Outside The Dose Series
9,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,1.408,EC50,=,1408,,nM,
10,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,4.641,EC90,=,4.641,,uM,
11,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,8.043,EC90,=,8.043,,uM,
12,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,0.148,EC50,=,148,,nM,
13,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,0.595,EC90,=,0.595,,uM,
14,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,0.091,EC50,=,91,,nM,
15,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Active,,,,1.446,EC90,=,1.446,,uM,
16,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,,EC50,,,Could not be calculated,,
17,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,,EC50,,,Could not be calculated,,
18,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,,EC90,,,Could not be calculated,,
19,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,,EC50,,,Could not be calculated,,
20,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,,EC90,,,Could not be calculated,,
21,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,,EC50,,,Could not be calculated,,
22,124963934,44633776,C#C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)CO)O)O,Unspecified,,,,,EC90,,,Could not be calculated,,
23,160707713,196918,COC1=C(C=C(C=C1)CCNC2=NC3=CC(=C(C=C3C(=N2)N4CCC5=CC(=C(C=C5C4)OC)OC)OC)OC)OC,Unspecified,,,,3.333,EC50,>,3333,,nM,Falls Outside The Dose Series
24,160707713,196918,COC1=C(C=C(C=C1)CCNC2=NC3=CC(=C(C=C3C(=N2)N4CCC5=CC(=C(C=C5C4)OC)OC)OC)OC)OC,Unspecified,,,,3.333,EC90,>,3.333,,uM,Falls Outside The Dose Series
25,469800217,164610057,CCCC[C@@H](C(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)C,Active,,,,0.785,EC50,=,785,,nM,
26,469800217,164610057,CCCC[C@@H](C(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)C,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
27,469800217,164610057,CCCC[C@@H](C(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)C,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
28,469800217,164610057,CCCC[C@@H](C(=O)N[C@@H](C1=CC=C(C=C1)OCC2=CC=CC=C2)C(=O)NCC3=CC=C(C=C3)C(=O)N)NC(=O)C,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
29,469810959,138376585,C1CNCCC1COC2=CN=C(C(=N2)C3=CC=C(C=C3)C4=COC=C4)C5=CC=C(C=C5)CN,Active,,,,1.003,EC50,=,1003,,nM,
30,469810959,138376585,C1CNCCC1COC2=CN=C(C(=N2)C3=CC=C(C=C3)C4=COC=C4)C5=CC=C(C=C5)CN,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
31,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.005,EC50,<,5,,nM,Falls Outside The Dose Series
32,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.005,EC90,<,0.005,,uM,Falls Outside The Dose Series
33,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.005,EC50,<,5,,nM,Falls Outside The Dose Series
34,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.005,EC90,<,0.005,,uM,Falls Outside The Dose Series
35,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.019,EC50,=,19,,nM,
36,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.061,EC90,=,0.061,,uM,
37,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.005,EC50,<,5,,nM,Falls Outside The Dose Series
38,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.005,EC90,<,0.005,,uM,Falls Outside The Dose Series
39,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.005,EC50,<,5,,nM,Falls Outside The Dose Series
40,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.005,EC90,<,0.005,,uM,Falls Outside The Dose Series
41,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.005,EC50,<,5,,nM,Falls Outside The Dose Series
42,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.005,EC90,<,0.005,,uM,Falls Outside The Dose Series
43,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.005,EC50,<,5,,nM,Falls Outside The Dose Series
44,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,9.267,EC90,=,9.267,,uM,
45,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.005,EC50,<,5,,nM,Falls Outside The Dose Series
46,520013871,177646246,COC1=CC(=CC(=C1)N[C@H](C2=C(C=C(C=C2)Cl)OC)C(=O)C3=CNC4=C3C=C(C=C4)OC(F)(F)F)S(=O)(=O)C,Active,,,,0.005,EC90,<,0.005,,uM,Falls Outside The Dose Series
47,520069300,177661624,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=C(C=C3)CCCCN)Cl,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
48,520069300,177661624,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC=C(C=C3)CCCCN)Cl,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
49,520069302,177661626,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC(=CC(=C3)C4=NNN=N4)Br)Cl,Unspecified,,,,11.416,EC50,=,11416,,nM,
50,520069302,177661626,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=CC(=CC(=C3)C4=NNN=N4)Br)Cl,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
51,520069318,177661642,COC(=O)C1=CC(=CC(=C1)C2=NNN=N2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,39.759,EC50,=,39759,,nM,
52,520069318,177661642,COC(=O)C1=CC(=CC(=C1)C2=NNN=N2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,45.04,EC90,=,45.04,,uM,
53,520069358,172991065,CC1=CC=C(C=C1)S(=O)(=O)CNC(=O)[C@@H](C2=C3C=NNC3=CC(=C2)Cl)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
54,520069358,172991065,CC1=CC=C(C=C1)S(=O)(=O)CNC(=O)[C@@H](C2=C3C=NNC3=CC(=C2)Cl)NC4=CC5=C(CNC5)C=C4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
55,520069366,172991040,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)F,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
56,520069366,172991040,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)F,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
57,520069984,177661806,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NC=CC4=CC(=C3)Cl,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
58,520069984,177661806,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NC=CC4=CC(=C3)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
59,520069984,177661806,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NC=CC4=CC(=C3)Cl,Unspecified,,,,29.257,EC50,=,29257,,nM,
60,520069984,177661806,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NC=CC4=CC(=C3)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
61,520069991,177661812,CCOC(=O)[C@@H]1[C@@H]([C@H]1C2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3)C4=CC=CC(=C4)C5=NNN=N5,Unspecified,,,,10.05,EC50,=,10050,,nM,
62,520069991,177661812,CCOC(=O)[C@@H]1[C@@H]([C@H]1C2=CC(=CC(=C2)Cl)NC(=O)OCC3=CC=CC=C3)C4=CC=CC(=C4)C5=NNN=N5,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
63,520070004,177661824,C1CN(CCC1C2=CC=C(C=C2)S(=O)(=O)N)CC3=CNC4=CC=CC=C43,Unspecified,,,,,EC50,,,Could not be calculated,,
64,520070004,177661824,C1CN(CCC1C2=CC=C(C=C2)S(=O)(=O)N)CC3=CNC4=CC=CC=C43,Unspecified,,,,,EC90,,,Could not be calculated,,
65,520070004,177661824,C1CN(CCC1C2=CC=C(C=C2)S(=O)(=O)N)CC3=CNC4=CC=CC=C43,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
66,520070004,177661824,C1CN(CCC1C2=CC=C(C=C2)S(=O)(=O)N)CC3=CNC4=CC=CC=C43,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
67,520070601,177661965,CC1=C(C=C(N1C)C2CC2)C(=O)NC3=NC=CC(=C3)C4=CN=CC=C4,Unspecified,,,,46.029,EC50,=,46029,,nM,
68,520070601,177661965,CC1=C(C=C(N1C)C2CC2)C(=O)NC3=NC=CC(=C3)C4=CN=CC=C4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
69,520070635,177661996,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)Cl)S(=O)(=O)NC3=CC=CC(=C3)C4=NNN=N4,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
70,520070635,177661996,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)Cl)S(=O)(=O)NC3=CC=CC(=C3)C4=NNN=N4,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
71,520070645,177662006,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=NC=CC(=C3)CCCN)Cl,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
72,520070645,177662006,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)C(=O)NC3=NC=CC(=C3)CCCN)Cl,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
73,520070679,177662039,C1C2=C(CN1)C=C(C=C2)N[C@@H](C#N)C3=CC(=CC(=C3)C#N)Cl,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
74,520070679,177662039,C1C2=C(CN1)C=C(C=C2)N[C@@H](C#N)C3=CC(=CC(=C3)C#N)Cl,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
75,520070693,177662053,C1CNCCC2=C1C=CC(=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
76,520070693,177662053,C1CNCCC2=C1C=CC(=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
77,520070703,177662063,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)C#N)C(F)(F)F,Unspecified,,,,23.537,EC50,=,23537,,nM,
78,520070703,177662063,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)C#N)C(F)(F)F,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
79,520070716,177662076,C1=CC=C(C=C1)COC(=O)N[C@@H](C2=CC(=C(C=C2)Br)Cl)C(=O)NC3=CC=CC(=C3)CN,Unspecified,,,,5.556,EC50,>,5556,,nM,Falls Outside The Dose Series
80,520070716,177662076,C1=CC=C(C=C1)COC(=O)N[C@@H](C2=CC(=C(C=C2)Br)Cl)C(=O)NC3=CC=CC(=C3)CN,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
81,520070718,177662078,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)CCC3=CC(=CC=C3)CN)Cl,Unspecified,,,,1.852,EC50,>,1852,,nM,Falls Outside The Dose Series
82,520070718,177662078,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)CCC3=CC(=CC=C3)CN)Cl,Unspecified,,,,1.852,EC90,>,1.852,,uM,Falls Outside The Dose Series
83,520070756,177662116,C1COC2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Active,,,,0.669,EC50,=,669,,nM,
84,520070756,177662116,C1COC2=C(CN1)C=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)NC(=O)OCC4=CC=CC=C4,Unspecified,,,,5.556,EC90,>,5.556,,uM,Falls Outside The Dose Series
85,520070772,177662132,CCC1=C(SC(=C1)C(=O)NC2=CC=CC(=C2)C3=NNN=N3)C4=CC=C(C=C4)Cl,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
86,520070772,177662132,CCC1=C(SC(=C1)C(=O)NC2=CC=CC(=C2)C3=NNN=N3)C4=CC=C(C=C4)Cl,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
87,520070774,177662134,CC1=C(C2=CC=CC=C2N1)CN3CCC(CC3)C4=CNC5=C4C=CC=N5,Active,,,,3.013,EC50,=,3013,,nM,
88,520070774,177662134,CC1=C(C2=CC=CC=C2N1)CN3CCC(CC3)C4=CNC5=C4C=CC=N5,Unspecified,,,,10,EC50,>,10000,,nM,Falls Outside The Dose Series
89,520070774,177662134,CC1=C(C2=CC=CC=C2N1)CN3CCC(CC3)C4=CNC5=C4C=CC=N5,Unspecified,,,,10,EC90,>,10,,uM,Falls Outside The Dose Series
90,520070774,177662134,CC1=C(C2=CC=CC=C2N1)CN3CCC(CC3)C4=CNC5=C4C=CC=N5,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
91,520071502,177662231,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)[C@H](C#N)NC3=CC=CC(=C3)C4=NNN=N4)Cl,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
92,520071502,177662231,C1=CC=C(C=C1)COC(=O)NC2=CC(=CC(=C2)[C@H](C#N)NC3=CC=CC(=C3)C4=NNN=N4)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
93,520071506,176468864,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
94,520071506,176468864,C1C2=C(CN1)C=C(C=C2)NC(=O)C3=C4C=NNC4=CC(=C3)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
95,520071525,177662253,CC[C@H](CC1=NNN=N1)C2=CC=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)N4C=CC=C4,Unspecified,,,,42.521,EC50,=,42521,,nM,
96,520071525,177662253,CC[C@H](CC1=NNN=N1)C2=CC=C(C=C2)NC(=O)C3=CC(=CC(=C3)Cl)N4C=CC=C4,Unspecified,,,,46.71,EC90,=,46.71,,uM,
97,520071582,177662308,COC1=CC(=CC(=C1)C(=O)NC2=CC3=C(CNC3)C=C2)Br,Unspecified,,,,,EC50,,,Could not be calculated,,
98,520071582,177662308,COC1=CC(=CC(=C1)C(=O)NC2=CC3=C(CNC3)C=C2)Br,Unspecified,,,,,EC90,,,Could not be calculated,,
99,520071583,177662309,C1CC1C2=CC(=CC(=C2)Cl)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
100,520071583,177662309,C1CC1C2=CC(=CC(=C2)Cl)C(=O)NC3=CC4=C(CNC4)C=C3,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
101,520071628,177662352,CCCC(=O)NC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)CN)Cl,Unspecified,,,,50,EC50,>,50000,,nM,Falls Outside The Dose Series
102,520071628,177662352,CCCC(=O)NC1=CC(=CC(=C1)C(=O)NC2=CC=CC(=C2)CN)Cl,Unspecified,,,,50,EC90,>,50,,uM,Falls Outside The Dose Series
103,520071653,177662377,C1CC1C2=CC(=NC(=N2)N3CCC(CC3)NS(=O)(=O)C4=C(C=C(C=C4)Cl)C(=O)O)C(F)(F)F,Unspecified,,,,3.333,EC50,>,3333,,nM,Falls Outside The Dose Series
104,520071653,177662377,C1CC1C2=CC(=NC(=N2)N3CCC(CC3)NS(=O)(=O)C4=C(C=C(C=C4)Cl)C(=O)O)C(F)(F)F,Unspecified,,,,3.333,EC90,>,3.333,,uM,Falls Outside The Dose Series
105,520071653,177662377,C1CC1C2=CC(=NC(=N2)N3CCC(CC3)NS(=O)(=O)C4=C(C=C(C=C4)Cl)C(=O)O)C(F)(F)F,Unspecified,,,,16.667,EC50,>,16667,,nM,Falls Outside The Dose Series
106,520071653,177662377,C1CC1C2=CC(=NC(=N2)N3CCC(CC3)NS(=O)(=O)C4=C(C=C(C=C4)Cl)C(=O)O)C(F)(F)F,Unspecified,,,,16.67,EC90,>,16.67,,uM,Falls Outside The Dose Series
107,520072297,177662524,C1CC1S(=O)(=O)NC(=O)C2=C(C=CC(=C2)Cl)NS(=O)(=O)C3=CC=C(C=C3)OC4=CC=CC=C4Cl,Unspecified,,,,42.539,EC50,=,42539,,nM,
