PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50 Modifier,IC50,IC50 Hill Slope,IC50 NormChi2,IC50 StdDev Modifier,IC50 StdDev,Max CPE Inhibition,Max CPE Inibition Conc,Min CPE Inhibition,Min CPE Inhibition Conc,CPE Inhibition @ 20 uM,CPE Inhibition @ 10 uM,CPE Inhibition @ 5 uM,CPE Inhibition @ 2.5 uM,CPE Inhibition @ 1.25 uM,CPE Inhibition @ 0.625 uM,CPE Inhibition @ 0.313 uM,CPE Inhibition @ 0.156 uM,CPE Inhibition @ 0.078 uM,CPE Inhibition @ 0.039 uM
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,,,,,,,Maximum Inhibition achieved across all concentrations,Concentration (uM) at Maximum Inhibition,Minimum Inhibition achieved across all concentrations,Concentration (uM) at Minimum Inhibition,,,,,,,,,,
RESULT_UNIT,,,,,,,,,MICROMOLAR,NONE,NONE,,NONE,PERCENT,MICROMOLAR,PERCENT,MICROMOLAR,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
253,4255149,1086661,CCC1=CC=C(O1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC(=CC(=N3)C)C,Inactive,0,,,,,,,,,24.47,20,-4.19,0.625,24.47,5.42,-0.41,4.46,0.66,-4.19,-0.49,-1.49,-3.6,-0.85
254,4257370,2938425,CC1=C(C(=NN1CC(CN2C3=CC=CC=C3C4=C2C(=O)N(CC4)C)O)C)Br,Inactive,0,,,,,,,,,22.55,10,-7.27,0.156,22.38,22.55,-0.94,-1.87,-3.37,-6.74,-2.84,-7.27,-2.15,3.92
255,4262032,2283723,C1=CC=C(C(=C1)CNCCCNCC2=CC=CC=C2O)O,Inactive,0,,,,,,,,,20.78,20,-4.45,0.078,20.78,2.56,-1.14,-0.99,0.69,0.11,4.57,-0.19,-4.45,-0.16
256,4263319,966833,COC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=CC=C2NS(=O)(=O)C,Inactive,0,,,,,,,,,22.43,20,-1.83,0.039,22.43,9.61,7.24,5.69,6.17,4.89,0.79,0.45,0.95,-1.83
257,4260537,2165076,C1=CC=C(C=C1)N2C=NC(=N2)SCC(=O)NC3=NC4=CC=CC=C4S3,Inactive,0,,,,,,,,,10.46,20,-6.38,0.625,10.46,1.17,-1.44,-1.43,1.77,-6.38,-4.6,-3.6,-1.59,1.46
258,4262684,1307393,COC1=C(C=C(C=C1)C2=NOC(=N2)C3=CC=CC=C3C4=CC=CC=C4)OC,Inactive,0,,,,,,,,,10.75,20,-2.19,0.625,10.75,5.32,1.93,4.01,1.46,-2.19,2.08,-1.26,1.09,1.31
259,4262731,1255353,C1=CC=C(C(=C1)C(=O)O)NC(=O)C2=CC(=CC=C2)NC(=O)C3=CC=C(O3)Br,Inactive,0,,,,,,,,,7.57,20,-3.87,0.156,7.57,5.21,-1.98,-2.57,-0.41,-0.6,1.06,-3.87,-3.46,-2.98
260,4264597,135402196,COC1=C(C=C(C=C1)C2=NOC(=N2)CSC3=NC(=CC(=O)N3)C4=CC=CC=C4)OC,Inactive,0,,,,,,,,,26.6,20,-2.91,0.313,26.6,13.19,2.53,4.85,-1.22,1.3,-2.91,0.73,1.91,0.13
261,4264809,2231564,C=CCN1C(=NN=C1SCC(=O)NC2=NC3=CC=CC=C3S2)C4=CC=CC=C4O,Inactive,0,,,,,,,,,21.09,20,-2.66,0.078,21.09,7.76,6.43,2.26,2.46,-2.02,4.32,-0.62,-2.66,1.03
262,4263713,2975495,C1CN(CC(C1(C2=CC=CC=C2)O)C(C3=CC=CC=C3)O)CC4=CC=CC=C4,Inactive,0,,,,,,,,,20.87,20,-2.94,0.039,20.87,7.4,5.24,5.46,2.83,0.79,2.3,-1.93,-1.19,-2.94
263,4258884,1628636,CCOC(=O)C1=CN=C(N=C1N)SCC2=NC(=NC(=N2)NC3=CC=C(C=C3)C)N,Inactive,0,,,,,,,,,29.27,20,-3.78,0.313,29.27,19.21,4.89,1.77,3.1,2.18,-3.78,0.48,1.43,-2.04
264,4264401,2946166,CC1=C(OC2=CC=CC=C12)C(=O)N(CC3=CC(=C(C=C3)OC)OC)C4CCS(=O)(=O)C4,Inactive,0,,,,,,,,,18.33,20,0.41,0.156,18.33,12.53,9.05,4.76,3.04,1.13,3.53,0.41,2.91,1.21
265,4265802,2947517,COC1=CC=CC(=C1)C2CC(NC3=NC(=NN23)N)C4=C(C=C(C=C4)Cl)Cl,Inactive,0,,,,,,,,,2.82,20,-1.56,0.625,2.82,-0.49,2.07,1.01,-0.43,-1.56,1.11,0.24,0.42,1.56
266,4260516,135407541,CCCC1=CC(=O)NC(=N1)SCC2=CC=C(C=C2)C#N,Inactive,0,,,,,,,,,14.6,20,-1.03,0.625,14.6,7.53,4.33,5.66,3.3,-1.03,4.69,2.56,1.74,0.55
267,4263658,752648,C=CCN1C(=C(SC1=S)C(=O)NCC2=CN=CC=C2)N,Inactive,0,,,,,,,,,4.66,2.5,-1.79,0.625,2.55,0.15,2.03,4.66,4.3,-1.79,1.73,-1.6,2.44,-1.48
268,864658,665899,CC1=C2C(=NN1)CC(C3=NC4=CC=CC=C4N=C23)(C)C,Inactive,0,,,,,,,,,27.1,10,-0.06,0.625,15.7,27.1,6.91,4.44,2.81,-0.06,1.18,2.12,2.9,3.26
269,862699,663931,C1C(NC2=NC(=NN2C1C3=CC=C(C=C3)F)NC(=O)CCCC(=O)O)C4=CC=C(C=C4)Cl,Inactive,0,,,,,,,,,3.57,1.25,-5.45,0.039,2.43,-2.75,1.34,-0.88,3.57,-4.04,-1.15,-2.81,-2.82,-5.45
270,856458,657817,CN1C(=CC(=O)N(C1=O)C)OC2=CC=CC=C2NCC3=C(C=CC(=C3)Br)O,Inactive,0,,,,,,,,,14.34,20,-0.29,1.25,14.34,4.91,2.24,0.21,-0.29,1.99,1.23,0.29,3.06,0.53
271,847138,649538,C1=CC(=CC(=C1)NCC2=NN=C(N2CC3=CC=CO3)SCC(=O)O)C(F)(F)F,Inactive,0,,,,,,,,,3.89,20,-2.46,0.078,3.89,0.31,3.82,0.96,-1.72,0.14,-0.38,-1.23,-2.46,-1.65
272,862299,663528,CC1=CC(=CC=C1)S(=O)(=O)NC2=NC3=CC=CC=C3N=C2NCC4=CC=CO4,Inactive,0,,,,,,,,,12.06,20,-5.96,0.313,12.06,6.56,1.72,2.29,1.22,-5.09,-5.96,1.33,-0.31,-0.58
273,846046,648418,COCCSC1=NN=C(S1)NC(=O)C2CCCCC2,Inactive,0,,,,,,,,,6.07,20,-1.3,2.5,6.07,2.13,1.21,-1.3,1.15,0.98,0.59,0.51,0.97,-0.89
274,861139,6859153,C1=CC=C(C=C1)C2=CC=C(O2)/C=N/N3C4=CC=CC=C4N=C3N,Inactive,0,,,,,,,,,12.87,20,0.5,0.039,12.87,8.42,7.18,7.56,7.96,6.95,5.56,1.64,0.8,0.5
275,856178,135426534,CC1=NN2C(=C(N=C2NC1=O)C3=CC=CC=C3)C4=CC=CC=C4,Inactive,0,,,,,,,,,9.59,20,-2.2,0.039,9.59,4.2,4.3,1.22,2.51,-0.37,2.1,-0.23,4.67,-2.2
276,857485,658835,CCOC(=O)CC1=NS(=O)(=O)C2=CC=CC=C2N1,Inactive,0,,,,,,,,,5.2,1.25,-1.15,0.313,2.01,2.71,-1.14,0.12,5.2,-0.17,-1.15,3.25,0.6,3.63
277,845248,647588,CCOC1=CC=CC(=C1)C(=O)NC2=CC=CC=C2N3CCN(CC3)C(=O)C(C)C,Inactive,0,,,,,,,,,9.61,20,-1.8,0.039,9.61,4.59,3.63,3.88,1.98,1.48,4.85,-0.58,-0.45,-1.8
278,860805,662084,CC1=CC=C(C=C1)C2C=C(NC3=NC=NN23)C4=CC(=CC=C4)OC,Inactive,0,,,,,,,,,22.6,20,-2.57,0.039,22.6,11.27,15.04,2.94,8.47,2.31,-0.97,1.25,-1.8,-2.57
279,860836,662115,CN(C)C1=CC=C(C=C1)C2C=C(NC3=NC=NN23)C4=CC(=CC=C4)OC,Inactive,0,,,,,,,,,8.59,20,-0.17,0.078,8.59,6.35,8.04,5.69,6.05,1.71,2.06,2.01,-0.17,1.19
280,852911,655556,COC1=CC=C(C=C1)CN(C2=CC=C(C=C2)F)C(=O)CSC3=NN=C(O3)C4=CC=C(C=C4)F,Inactive,0,,,,,,,,,21.26,20,-2.44,0.039,21.26,16.88,10.03,1.45,2.81,0.73,0.77,0.7,-0.12,-2.44
281,865483,666737,CC1=CC(=C(C=C1)C2=NNC(=C2)C(=O)NC3=C(C=CC(=C3)OC)OC)O,Inactive,0,,,,,,,,,12.84,5,-1.21,0.039,9.4,8.81,12.84,9.41,9.54,5.71,3.01,0.56,-0.35,-1.21
282,866045,667306,C1CC(OC1)CN2C(C3=C(C2=O)NN=C3C4=CC=CC=C4O)C5=CC=C(C=C5)F,Inactive,0,,,,,,,,,10.87,20,-4.52,0.313,10.87,3.24,1.62,0.38,-2.51,0.14,-4.52,4.42,0.2,-1.38
283,846936,649329,CC1=NC2=C(N1C3CCN(CC3)CC(=O)NC4=CC=CC=C4OC)C=CC(=C2)F,Inactive,0,,,,,,,,,23.74,20,3.44,0.078,23.74,17.14,15.52,9.25,5.3,9.4,6.65,5.08,3.44,7.28
284,853485,656142,COCCN1C(=CN=C1SCC(=O)NCC2=CC=CS2)C3=CC=C(C=C3)Cl,Inactive,0,,,,,,,,,18.93,20,-0.57,0.078,18.93,7.35,1.72,4.15,4.49,1.02,-0.31,2.34,-0.57,0.77
285,4251215,1040497,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)CC3=C(C=CC(=C3)C(C)C)O,Inactive,0,,,,,,,,,15.92,20,-1.56,0.039,15.92,2.75,3.95,1.58,5.72,1.07,-1.02,1.16,-0.09,-1.56
286,844455,646780,COC1=CC(=CC(=C1OC)OC)C2=NN=C(O2)C3=CC=C(C=C3)N4CCOCC4,Inactive,0,,,,,,,,,11.34,10,-0.95,0.313,8.33,11.34,8.99,7,8.1,1.02,-0.95,4.89,1.56,1.83
287,844926,647256,C1=CC=C(C=C1)C2=CSC(=C2C(=O)O)NC(=O)C3=CC=CO3,Inactive,0,,,,,,,,,10.92,20,-2.06,0.625,10.92,4.57,2.27,1.64,-0.48,-2.06,0.76,-1.33,0,-1.95
288,4244167,1267856,CCOC(=O)C1=CC=C(C=C1)NC(=O)CN2N=C(N=N2)C3=CC=CC=C3,Inactive,0,,,,,,,,,12.89,20,-1.78,0.078,12.89,9.8,8.64,2.71,5.2,2.87,1.79,1.82,-1.78,0.9
289,4244991,3239518,CCOC1=C2C(=C(C=C1)S(=O)(=O)N3CCN(CC3)C4=CC=CC=C4OC)C=CC=N2,Inactive,0,,,,,,,,,17.12,20,-0.49,0.625,17.12,9.95,10.03,5.71,2.27,-0.49,2.7,0.24,0.57,0.6
290,4250437,768423,COC1=C(C=C(C=C1)C2=NC(=NO2)C3CCCCC3)OC,Inactive,0,,,,,,,,,8.02,20,-1.45,0.156,8.02,6.92,2.55,1.35,2.65,0.14,3.08,-1.45,3.01,0.72
291,850512,653043,CC(C)C1=NC2=CC(=NN2C(=C1)C(F)(F)F)C(=O)NC3=CC4=C(C=C3)OCO4,Inactive,0,,,,,,,,,11.57,5,-4.84,0.039,9.64,9.8,11.57,5.14,3.18,1.53,-0.59,-1.79,2.21,-4.84
292,3715329,2422341,C1CN(CCN1C2=CC=CC=C2F)C3=NC=NC4=C3C=NN4,Inactive,0,,,,,,,,,7.21,20,-1.94,0.625,7.21,1.36,5.05,-0.96,-0.17,-1.94,2.13,-1.5,2.51,-1.02
293,4242604,3237436,C1=CC=C2C(=C1)N(C(=O)S2)CCC(=O)NCCCN3C=CN=C3,Inactive,0,,,,,,,,,4.88,20,-1.9,0.156,4.88,1.7,1.82,-0.75,1.62,0.4,1.2,-1.9,0.71,1.8
294,842370,644638,CN(C)CCCN(CC1=CC2=C(C=CC(=C2)OC)NC1=O)C(=O)NC3=CC=C(C=C3)F,Inactive,0,,,,,,,,,7.66,20,-0.12,0.078,7.66,4.3,1.76,0.99,0.41,1.63,3.29,2.32,-0.12,0.77
295,4250645,3244427,C1CC1C(=O)N2CCN=C2SCC3=CC=C(C=C3)Cl,Inactive,0,,,,,,,,,1.24,0.078,-3.97,0.039,0,-1.94,-1.85,-1.64,-0.63,-3.18,0.31,-3.25,1.24,-3.97
296,4247016,3241279,CCC1=CC(=CC=C1)NC2=C(C(=O)C2=O)NC3CCN(CC3)C(=O)OCC,Inactive,0,,,,,,,,,9.52,20,-1.98,1.25,9.52,7.47,4.73,3.03,-1.98,0.37,2.89,1.4,3.06,0.16
297,3712877,2081561,CC1=CC(=C(N1CC2=CC=CO2)C)C(=O)CSC3=NN=C(O3)C4=CC=CO4,Inactive,0,,,,,,,,,2.98,20,-2.06,0.313,2.98,2.15,-1.88,1.52,-0.26,1.38,-2.06,0.22,-1.24,-0.5
298,4248789,3242819,CC1=CC=C(C=C1)C(CC(=O)O)NC2=NC(=NC(=N2)N3CCCCC3)N4CCCCC4,Inactive,0,,,,,,,,,9.28,20,-0.62,0.039,9.28,3.93,0.37,0.18,-0.17,5.08,7.26,2.88,-0.47,-0.62
299,4244862,3239405,CC1=C(C=C(C=C1)NC2C3=C(C=CC=N3)C(=O)N2C4CCCCC4)C,Inactive,0,,,,,,,,,12.65,20,-0.97,0.078,12.65,7.94,3.94,0.82,-0.38,-0.6,-0.95,-0.15,-0.97,0.67
300,4251761,3245407,CC1=C(C2=CC=CC=C2N1)C3=CCNCC3,Inactive,0,,,,,,,,,3.08,20,-1.68,0.625,3.08,2.06,0.71,1.74,0.36,-1.68,2.46,-0.41,1.05,2
301,3712702,2423307,CC1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=CC(=CC=C3)S(=O)(=O)N4CCN(CC4)C,Inactive,0,,,,,,,,,5.26,10,-4.1,0.078,5.05,5.26,4.61,4.98,-1.79,-1.69,1.76,2.01,-4.1,-1.01
302,847603,650007,CCC1=NN=C(S1)NC(=O)C2=CC3=CC=CC=C3OC2=O,Inactive,0,,,,,,,,,5.56,0.039,-2.15,0.625,-0.17,0.83,-0.61,0.69,-1.2,-2.15,-0.31,1.44,0.17,5.56
303,4244733,3239290,CC1=NC(=CS1)CNS(=O)(=O)C2=CN=CC=C2,Inactive,0,,,,,,,,,4.68,20,-2.04,0.039,4.68,3.55,1.42,2.84,2.21,0.76,-0.41,-0.21,1.7,-2.04
304,4248620,3242681,CC1=C(N=C(O1)C2=CC=CC=C2Cl)CSCC(=O)N3CCCC3,Inactive,0,,,,,,,,,16.39,20,-1.62,5,16.39,5.96,-1.62,-1.52,1.13,,4.28,2.32,1.35,0.68
305,4250716,3244484,C1=CC(=CC=C1CCNC(=O)CNC=O)Cl,Inactive,0,,,,,,,,,3.93,10,0.04,2.5,1.49,3.93,2.36,0.04,1.36,1.43,3.57,1.31,0.37,2.98
306,4243526,3238236,CN1C=C(C2=CC=CC=C21)CN3CCN(CC3)C4=CC=CC=C4,Inactive,0,,,,,,,,,11.99,20,-1.21,0.039,11.99,7.74,7.8,5.88,7.55,2.39,0.92,0.63,3.33,-1.21
307,4250720,3244487,CCSC1=NN=C(S1)NC(=O)CSC2=NN=C(N2C3=CC=C(C=C3)F)CC4=CC=CN4C,Inactive,0,,,,,,,,,13.94,20,-1.54,0.078,13.94,12.53,3.56,5.35,3.85,-0.54,4.95,1.91,-1.54,2.14
308,848859,651323,CC1=CC=C(C=C1)C(=O)NC2CCN(CC2)CC(=O)NC3=CC=CC=C3C(=O)OC,Inactive,0,,,,,,,,,21.3,20,-0.92,0.039,21.3,14.44,17.2,15.28,9.25,5.51,6.84,1.35,1.57,-0.92
309,3712986,2612965,C1CCN(CC1)C(=O)CSCC(=O)OCC(=O)C2=CNC3=CC=CC=C32,Inactive,0,,,,,,,,,6.07,10,-2.4,20,-2.4,6.07,0.08,1.95,0.11,3.96,-2.07,3.19,-0.01,2.89
310,3712052,2059539,C1=COC(=C1)C(=O)NC2=C(C(=CS2)C3=CC=C(C=C3)F)C(=O)O,Inactive,0,,,,,,,,,10.04,20,-0.21,0.039,10.04,7.12,8.64,5.25,3.04,0.34,2.77,3.55,1.64,-0.21
311,3716158,1219876,COC1=C(C=C(C=C1)C2=NN=C(O2)C3=CC=C(O3)Br)OC,Inactive,0,,,,,,,,,18.41,10,-2.98,0.078,14.54,18.41,7.7,6.95,2.58,2.62,0.31,0.97,-2.98,3.2
312,3713408,741713,C1CC2=C(C1)SC(=C2C(=O)O)NC(=O)C3=CC=CS3,Inactive,0,,,,,,,,,14.66,20,-4.96,0.078,14.66,6.39,1.67,4.44,-2.19,-2.75,-1.05,-1.41,-4.96,-2.73
313,3713502,2679333,CC1=C(C=C(C=C1)C(=O)NC2=NC(=CS2)C)S(=O)(=O)N3CCCCC3,Inactive,0,,,,,,,,,24.1,20,-1.35,0.039,24.1,10.79,10.13,3.44,7.21,3.44,2.61,6.12,6.43,-1.35
314,3717549,3000052,COC1=C(C=C2C(=C1)C3=CC=CC=C3O2)NC(=O)CC4C(=O)N=C(S4)N5CCCC5,Inactive,0,,,,,,,,,13.65,20,-0.85,0.078,13.65,10.29,7.44,3.74,2.17,3.81,1.85,3.53,-0.85,6.51
315,3714156,135415467,CC1=CC(=C2C(=C1)C(=O)NC(=N2)C(C#N)C(=O)C3=NC(=NC=C3Cl)SC)C,Inactive,0,,,,,,,,,20.15,20,-4.67,0.078,20.15,10.98,8.76,3.76,1.99,-1.51,-0.74,-2.15,-4.67,-0.74
316,4262858,763427,C1=CC(=CC(=C1)NC(=O)C2=CC=CS2)NC(=O)C3=CC=CO3,Inactive,0,,,,,,,,,20.12,20,1.08,0.625,20.12,7.03,3.94,2.25,1.39,1.08,2.58,11.9,2.74,1.87
317,3714657,2998897,COC1=C(C(=CC(=C1)C2N=C(NO2)C3=CC=CC=C3)Br)O,Inactive,0,,,,,,,,,18.4,20,0.43,0.313,18.4,5.93,4.15,0.67,5.55,1.82,0.43,6.45,7.02,2.28
318,7965498,5307656,CC1=CC2=C(C=C1)N=C(S2)NC(=O)C3CCCN(C3)S(=O)(=O)C4=CN=CN4,Inactive,0,,,,,,,,,24.69,10,-4.08,0.078,22.33,24.69,12.86,8.33,1.84,3.16,-2.35,3.3,-4.08,-0.53
319,7968464,5309419,CCOC1=CC2=C(C=C1)N=C(S2)NC(=O)C3CCN(CC3)S(=O)(=O)C4=CN=CN4,Inactive,0,,,,,,,,,11.94,20,-1.93,0.156,11.94,7.17,4.37,3.42,-0.91,0.16,3.88,-1.93,-1.22,-0.62
320,7967177,1521366,CCC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3=CC(=C(C=C3)OC)OC,Inactive,0,,,,,,,,,7.4,20,-3.73,0.078,7.4,2.71,1.95,1.9,0.9,-2.57,-0.64,-1.55,-3.73,0.93
321,7970418,5206092,C1C(OC2=CC=CC=C2O1)C(=O)NC3=NC(=CS3)C4=CC5=C(C=C4)OCO5,Inactive,0,,,,,,,,,22.69,20,-3.22,0.313,22.69,6.27,6.28,-0.17,2.46,-2.44,-3.22,-0.42,1.88,-1.06
322,7965554,5307692,CCCS(=O)(=O)N1C(=CC(=N1)C2=C(C=C(C=C2)OC)OC)N,Inactive,0,,,,,,,,,1.62,0.078,-1.97,0.313,-1.58,-1.5,-0.46,0.72,0.93,-1.07,-1.97,-1.16,1.62,0.11
323,7966606,912578,CC1=CC(=CC(=C1)C2=NC(=NO2)C3=CC(=C(C=C3)OC)OC)C,Inactive,0,,,,,,,,,14.69,5,0.72,0.313,10.02,12.33,14.69,8.73,5.8,2.98,0.72,0.81,2.18,8.42
324,7969702,4096501,CC1CC2=C(S1)C(=O)N(C(=N2)SCC(=O)NC3=C(C=CC(=C3)Cl)OC)CCOC,Inactive,0,,,,,,,,,17.67,20,-2.81,5,17.67,6.22,-2.81,5.04,1.15,-0.99,1.12,-0.01,-0.79,0.71
325,7969830,5060477,C1CN(CCC1CC2=CC=CC=C2)C(C3=CC=CO3)C4=C(N5C(=NC=N5)S4)O,Inactive,0,,,,,,,,,15.78,20,-1.27,0.078,15.78,7.45,1.42,7.73,6.71,1.95,0.61,0.84,-1.27,3.2
326,7977786,878043,C1=CC=C2C(=C1)C=CC(=N2)C(=O)NC3=CC=CC=C3C(=O)O,Inactive,0,,,,,,,,,16.21,20,-0.15,0.156,16.21,13.41,5.14,4.25,1.17,0.37,2.45,-0.15,1.83,3.1
327,7975781,1577713,CC1=CC=C(C=C1)N2CN=C3N(C2)C(=O)/C(=C/C4=CC=CC=N4)/S3,Inactive,0,,,,,,,,,5.95,10,-3.08,1.25,-1.84,5.95,-0.41,-2.21,-3.08,3.03,1.58,0.64,3.52,3.79
328,7976811,2854424,CC1=C(C(NC(=O)N1)C2=CC(=CC=C2)O)C(=O)OC3CCCCCCC3,Inactive,0,,,,,,,,,7,20,-1.52,0.156,7,3.82,1.33,-1.5,2.34,2.39,1.85,-1.52,2.02,0.6
329,4242113,3237008,C1CCC(C1)NC2=C(N=C3N2C=CN=C3)C4=C(C=CC(=C4)Br)O,Inactive,0,,,,,,,,,16.55,20,-1.25,0.313,16.55,12.83,2.56,9.51,9.04,0.37,-1.25,3.88,-0.15,3.55
330,852332,654947,C1CCC2=NC3=NC=NN3C(=C2C1)NCC4=CC=CO4,Inactive,0,,,,,,,,,13.4,20,-4.32,0.313,13.4,10.21,2.73,1.87,-1.67,-2.62,-4.32,-1.6,-2.39,-0.5
331,846154,54684668,CCOC(=O)C1=C(C2=C(CCCC2)N(C1=O)CC3=CC=CO3)O,Inactive,0,,,,,,,,,14.71,20,-3.01,0.078,14.71,9.27,4.2,1.5,1.52,-1.02,-1.79,0.59,-3.01,-2.41
332,7973160,1075566,COC1=CC(=CC(=C1OC)OC)C(=O)N2CCC(CC2)C(=O)NC3=CC=CC=C3C(=O)OC,Inactive,0,,,,,,,,,1.96,20,-1.15,10,1.96,-1.15,1.69,1.84,-0.05,-0.11,-0.85,0.73,1,1.31
333,14723389,3232222,COC1=CC=CC=C1C(=O)NCC2CCN(CC2)C3=CC=C(C=C3)S(=O)(=O)N4CCOCC4,Inactive,0,,,,,,,,,6.04,20,-2.46,0.039,6.04,0.71,0.18,0.82,2.19,1.82,0.41,-0.31,3.09,-2.46
334,14724907,1163357,CCN1C(=NN=C1SCC(=O)OC2CCCCC2)COC3=CC=CC4=CC=CC=C43,Inactive,0,,,,,,,,,3.5,0.313,-1.33,0.156,2.2,-0.03,0.35,1.33,0.79,2.29,3.5,-1.33,1.44,0.85
335,14729098,1488088,C1=CC=C(C=C1)C(=O)C2=C(C(=C(S2)SCC3=CC(=CC=C3)Cl)C#N)N,Inactive,0,,,,,,,,,28.12,10,1.97,0.039,25.18,28.12,14.99,7.78,8.41,8.35,4.95,7.54,5.47,1.97
336,14746602,2441068,CC1=CC=C(O1)C(=O)NC2=NC(=CS2)C3=CC=C(C=C3)NC(=O)C,Inactive,0,,,,,,,,,27.79,20,-1.87,0.078,27.79,13.1,13.46,3.06,3.13,1.3,4.05,6.09,-1.87,2.73
337,14730437,919001,C1=CC=C(C=C1)N2[C@@H]3C4=CC=CC=C4C(=O)N3C5=CC=CC=C5C2=O,Inactive,0,,,,,,,,,4.59,10,-2.07,0.039,2.15,4.59,3.08,0.4,1,1.76,0.21,2.25,-0.27,-2.07
338,14743354,2020356,CCCCCNC1=NC2=CC=CC=C2N=C1NS(=O)(=O)C3=CC=CS3,Inactive,0,,,,,,,,,20.35,20,-0.27,0.156,20.35,10.31,6.2,2.72,4.78,1.66,1.54,-0.27,0.17,1.95
339,14746814,2483287,CC1=C(C(=NO1)C)C(=O)OCC(=O)NC2=C(C=CC(=C2)Cl)OC3=CC=CC=C3,Inactive,0,,,,,,,,,22.62,20,-5.16,0.039,22.62,1.14,-4.66,2.39,3.05,-2.28,1.12,0.01,-3.25,-5.16
340,14732453,1302820,CC1=CC=C(C=C1)NC(=O)COC2=C(C=C(C=C2)Br)CO,Inactive,0,,,,,,,,,10.51,20,-1.92,0.313,10.51,5.23,0.33,-0.67,-0.33,-1.35,-1.92,-1.77,-1.59,-0.08
341,14744776,2101019,CC1=CC=CC=C1S(=O)(=O)NC2=C3C4=C(CCC4)SC3=NC(=N2)C,Inactive,0,,,,,,,,,27.58,20,1.74,0.156,27.58,8.83,6.72,2.18,6.88,4.95,3.34,1.74,6.59,1.78
342,14741290,1847235,CC1=C(C=CC=C1Cl)NC(=O)C2=CC(=NN2)C3=CC=CC=C3O,Inactive,0,,,,,,,,,18.91,10,2.24,0.039,17.95,18.91,14.78,14.57,16.8,7.76,6.55,5.63,7.91,2.24
343,14726403,9549592,C1=CC=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)NCCO.Cl,Inactive,0,,,,,,,,,15.27,20,1.66,0.625,15.27,8.54,7.47,2.81,5.19,1.66,5.21,5.37,4.6,2.1
344,14741096,951027,CC1=C(C2=C(N1CC(C)C)C3=CC=CC=C3C(=C2)OC)C(=O)O,Inactive,0,,,,,,,,,28.15,20,-1.43,0.156,28.15,13.3,2.27,-0.09,4.3,3.41,0.9,-1.43,0.92,4.32
345,14737571,1269690,CC1=C(C=C(C=C1)OCC2=CC=C(O2)C(=O)NC3=CC=CC=C3C(=O)OC)C,Inactive,0,,,,,,,,,27.63,20,-1.77,0.078,27.63,11.71,4.26,-0.23,1,-0.24,-0.43,1.74,-1.77,1.19
346,14721022,830029,CC(C)N1C2=C(N=C1NCCC3=CC=CC=C3)N(C(=O)N(C2=O)C)C,Inactive,0,,,,,,,,,7.91,20,-3.78,0.078,7.91,3.89,4.71,-2.94,-1.08,0.71,3.14,0.89,-3.78,2.12
347,14720555,135430115,C1=CC=C(C=C1)CSC2=NN=C(C(=O)N2)C3=CC=CC=C3,Inactive,0,,,,,,,,,5.74,5,-0.57,0.078,3.2,3.77,5.74,3.93,4.21,3.99,5.32,1.02,-0.57,4.59
348,14727346,838850,C1=CC=C(C=C1)C2=NNC(=C2)C3=C(C=CC(=C3)Br)O,Inactive,0,,,,,,,,,19.64,20,-2.02,0.039,19.64,15.12,9.03,4.37,-0.19,-0.57,3.88,3.34,-0.4,-2.02
349,14726344,973120,CC1=C(N=CC=C1)NC2=NC(=CS2)C3=CC(=C(C=C3)OC)OC,Inactive,0,,,,,,,,,14.88,20,-0.23,0.078,14.88,9.63,12.41,6.71,7.65,4.37,3.17,2.62,-0.23,1.51
350,14740605,1332558,C1CCN(CC1)S(=O)(=O)C2=CC(=C(C=C2)OC3=CC=C(C=C3)Cl)S(=O)(=O)N4CCCCC4,Inactive,0,,,,,,,,,25.5,10,-0.96,0.039,22.59,25.5,14.26,9.57,5.14,,2.89,-0.41,4.57,-0.96
351,14734578,878806,C1CCC2=C(C3=C(N2CC1)C(=S)N=CN3)C#N,Inactive,0,,,,,,,,,9.66,20,-0.48,1.25,9.66,4.94,2.48,0.96,-0.48,1.2,0.85,1.09,2.66,3.47
